"Time","body1.phi","body1.w","revolute2.phi","revolute2.w"
5.0880000000000001,0.038085236577874312,-2.2621100832406569,0.14125313144631188,-3.7567144711544267
5.0899999999999999,0.033555495845331559,-2.2676194777255483,0.1337516643910239,-3.7447385142561331
5.0920000000000005,0.029014906370896518,-2.2729555628133462,0.12627434961411435,-3.7325586646432298
5.0940000000000003,0.024463806211871789,-2.2781240015029725,0.1188215851448346,-3.7201812638431218
5.0960000000000001,0.019902541694660349,-2.2831303841995334,0.11139377950964173,-3.7076125401838946
5.0979999999999999,0.015331427214039389,-2.2879802605235393,0.10399130411941399,-3.6948587206411805
5.1000000000000005,0.01075076502944541,-2.2926791179835266,0.096614516685291266,-3.6819259691546953
5.1020000000000003,0.0061608505313587528,-2.2972323735171383,0.089263767433014923,-3.6688203669699009
5.1040000000000001,0.0015619678090516213,-2.3016453736218501,0.081939393835339394,-3.6555479210310655
5.1059999999999999,-0.0030456103071369012,-2.3059233905228118,0.074641720641708195,-3.642114559432684
5.1080000000000005,-0.0076616209470496948,-2.3100716257895959,0.067371061463953275,-3.6285261344428643
5.1100000000000003,-0.012285787781763402,-2.3140953450890738,0.06012774775578604,-3.6147885588297171
5.1120000000000001,-0.01691788128040897,-2.3179995168794192,0.052912054167697196,-3.6009074379321118
5.1139999999999999,-0.021557668126267589,-2.3217891082062714,0.045724261167695394,-3.5868883696903802
5.1160000000000005,-0.026204925269258848,-2.3254689973120137,0.038564637615937987,-3.5727368551584382
5.1180000000000003,-0.03085943983322053,-2.3290439701026679,0.031433440856878193,-3.5584582942592244
5.1200000000000001,-0.035521009023208934,-2.332518716614806,0.024330916811380648,-3.5440579815400617
5.1219999999999999,-0.040189433064411917,-2.3358979135171296,0.01725730859514131,-3.5295411992490711
5.1239999999999997,-0.044864514138097118,-2.3391862325700141,0.010212857799321764,-3.5149132266564398
5.1260000000000003,-0.049546084582628137,-2.3423879877649703,0.0031977699633744198,-3.5001789406565051
5.1280000000000001,-0.054233976343216715,-2.3455075078342755,-0.0037877480659453647,-3.4853432368963895
5.1299999999999999,-0.058928030286267925,-2.3485490165741618,-0.010743499552625248,-3.470410894151537
5.1319999999999997,-0.06362809606249846,-2.351516629856945,-0.017669297725214257,-3.455386570697911
5.1340000000000003,-0.068334031970067141,-2.3544143526431722,-0.024564965630659796,-3.4402748006841479
5.1360000000000001,-0.073045693743125473,-2.3572462920477917,-0.031430322727341996,-3.4250802415806185
5.1379999999999999,-0.077762952243211614,-2.3600163065404121,-0.03826520608663149,-3.4098072663586003
5.1399999999999997,-0.082485692148493758,-2.3627280258585821,-0.045069468841100031,-3.3944599864759404
5.1420000000000003,-0.087213801102987543,-2.3653850570379578,-0.051842967209423919,-3.3790424911495145
5.1440000000000001,-0.091947174147620464,-2.3679908923082538,-0.058585565819901805,-3.3635587401653084
5.1459999999999999,-0.096685713548119265,-2.3705489067931169,-0.065297137522092805,-3.3480125610497562
5.1479999999999997,-0.10142932862287622,-2.3730623562099966,-0.071977563198424355,-3.3324076462411476
5.1500000000000004,-0.10617792289208905,-2.3755347468151866,-0.078626716222548729,-3.3167479923755785
5.1520000000000001,-0.11093142272888018,-2.3779689868589005,-0.085244497174357475,-3.3010368923757141
5.1539999999999999,-0.11568975576818243,-2.3803680131426339,-0.091830807714362139,-3.285277679514456
5.1559999999999997,-0.12045285489206105,-2.3827346666569911,-0.098385555429757549,-3.2694735796136003
5.1580000000000004,-0.12522065875675384,-2.3850716697543208,-0.10490865449269425,-3.2536276838350577
5.1600000000000001,-0.12999311159497937,-2.3873816245989699,-0.11140002544093736,-3.2377429467434959
5.1619999999999999,-0.13477016152623636,-2.3896670818315258,-0.11785959306005249,-3.221822269391009
5.1639999999999997,-0.13955175667708067,-2.3919307122932669,-0.12428728147893986,-3.2058687071974283
5.1660000000000004,-0.14433785930919157,-2.3941746313154568,-0.13068303217900901,-3.1898846516715742
5.1680000000000001,-0.14912843235086454,-2.3964010216861373,-0.13704678688866398,-3.1738725847008338
5.1699999999999999,-0.15392344307155134,-2.398611949876492,-0.14337849229110497,-3.1578348559588481
5.1719999999999997,-0.15872286286837931,-2.4008093652340987,-0.14967809978489754,-3.1417736818678508
5.1740000000000004,-0.16352666705268332,-2.402995099176187,-0.15594556524455888,-3.1256911445609634
5.1760000000000002,-0.16833483310757716,-2.4051710250750902,-0.16218084664725377,-3.1095893880049355
5.1779999999999999,-0.17314734209481619,-2.4073388871559294,-0.16838390609479106,-3.0934704080191957
5.1799999999999997,-0.17796418028351696,-2.4095001060748475,-0.17455471214525561,-3.0773358136833329
5.1820000000000004,-0.18278533581958942,-2.4116561057189907,-0.1806932352232212,-3.0611872282546297
5.1840000000000002,-0.18761079959427476,-2.4138081986798245,-0.18679944889043593,-3.0450261486023558
5.1859999999999999,-0.19244056502431281,-2.4159575861161615,-0.19287332959752548,-3.0288539449918055
5.1879999999999997,-0.19727462783208907,-2.4181053576171792,-0.19891485643566814,-3.012671860868398
5.1900000000000004,-0.20211298662980531,-2.4202527159450775,-0.2049240115834417,-2.996481290827012
5.1920000000000002,-0.20695564106717773,-2.4224005203070442,-0.21090077864707116,-2.9802832155743522
5.194,-0.21180259250336375,-2.424549535640669,-0.21684514318315279,-2.9640785102586316
5.1959999999999997,-0.21665384390532641,-2.4267004655421234,-0.22275709255254245,-2.9478679851566358
5.1980000000000004,-0.22150939947826234,-2.4288539102496696,-0.22863661554258752,-2.9316523336511162
5.2000000000000002,-0.22636926444770952,-2.4310103670552459,-0.23448370212049924,-2.9154321326934878
5.202,-0.23123344514692021,-2.4331702453868673,-0.24029834354921562,-2.8992078615744408
5.2039999999999997,-0.23610195243329629,-2.4353340418950715,-0.24608053645639233,-2.8829801203666734
5.2060000000000004,-0.24097479168567137,-2.4375018705806291,-0.25183027096868199,-2.8667490435114886
5.2080000000000002,-0.24585197089531938,-2.4396738625527434,-0.25754754033159666,-2.8505147986336232
5.21,-0.2507334981163582,-2.4418500543720842,-0.26323233789407424,-2.8342774471514156
5.2119999999999997,-0.25561938125636424,-2.4440303888711998,-0.26888465687195051,-2.8180369452496969
5.2140000000000004,-0.26050962786699905,-2.4462147159749348,-0.2745044901114479,-2.8017931448526374
5.2160000000000002,-0.26540424716427102,-2.4484028406453184,-0.28009183254499093,-2.7855458543559579
5.218,-0.27030324953771462,-2.4505945177532822,-0.28564668061483967,-2.7692948320560982
5.2199999999999998,-0.27520663869785522,-2.4527892913581857,-0.29116902280731277,-2.7530395822704219
5.2220000000000004,-0.28011442006095749,-2.4549866771683071,-0.29665884979384366,-2.7367795866508553
5.2240000000000002,-0.2850265978467047,-2.4571861064450324,-0.30211615094268179,-2.72051423298036
5.226,-0.28994317488188853,-2.4593869270992017,-0.30754091409815493,-2.704242816495662
5.2279999999999998,-0.29486415240407898,-2.4615884047874532,-0.31293312535990625,-2.687964541210043
5.2300000000000004,-0.29978953509754308,-2.4637897775519639,-0.31829277519852917,-2.6716785912633219
5.2320000000000002,-0.30471932204181851,-2.4659901662993526,-0.32361984751104156,-2.6553840137297939
5.234,-0.30965350810014647,-2.4681885921142812,-0.32891432131931414,-2.6390797411508444
5.2359999999999998,-0.31459208794278287,-2.4703840205369323,-0.33417617565941016,-2.6227646493325869
5.2380000000000004,-0.31953505392470938,-2.4725753429501878,-0.33940538702843254,-2.6064375328918032
5.2400000000000002,-0.32448239590518874,-2.4747613778385427,-0.34460192918300231,-2.5900971067913581
5.242,-0.32943410106734244,-2.4769408720470252,-0.34976577293775801,-2.5737420078755466
5.2439999999999998,-0.33439016268059468,-2.4791125390664126,-0.3548968968757934,-2.5573708484088535
