"Time","damper.phi_rel","damper.w_rel","force_inWorld.force[1]","force_inWorld.force[2]","force_inFrameA.force[1]","force_inFrameA.force[2]","force_inFrameResolve.force[1]","force_inFrameResolve.force[2]"
2.2014,0.47704006834383084,-0.28301261034259101,-0.0094815369406337485,-0.0025328837013053403,-0.012014420641939087,-2.8888949165808537e-35,-0.011627924108488067,-0.00038649653345101666
2.202,0.47686952299900681,-0.28547179815570672,-0.0096487296102036324,-0.0025753925211342483,-0.012224122131337884,0,-0.011831615010375595,-0.00039250712096228858
2.2025999999999999,0.47669750232767022,-0.2879303551963856,-0.0098173844490247065,-0.0026181989675028105,-0.012435583416527516,0,-0.012037040324554578,-0.00039854309197293899
2.2031999999999998,0.47652400670842826,-0.2903882770386626,-0.0099875015177112846,-0.0026613011985111732,-0.012648802716222459,0,-0.012244198922126826,-0.00040460379409563339
2.2037999999999998,0.47634903655284611,-0.29284556106421339,-0.010159081002113775,-0.002704697393138316,-0.012863778395252094,0,-0.012453089818467466,-0.00041068857678462585
2.2043999999999997,0.47617259222463731,-0.29530220164264487,-0.010332122882206607,-0.0027483856620423874,-0.013080508544248992,2.8888949165808537e-35,-0.012663711766661987,-0.00041679677758700839
2.2049999999999996,0.4759946741106712,-0.29775819436660045,-0.010506627221227726,-0.0027923641256410035,-0.013298991346868733,2.8888949165808537e-35,-0.012876063612599591,-0.00042292773426914128
2.2056,0.47581528260110117,-0.3002135348665636,-0.010682594085113782,-0.0028366308924478285,-0.01351922497756161,2.8888949165808537e-35,-0.013090144196054723,-0.00042908078150688962
2.2061999999999999,0.47563441808869139,-0.3026682187706129,-0.010860023539674787,-0.0028811840583915509,-0.013741207598066338,2.8888949165808537e-35,-0.013305952347241117,-0.00043525525082521867
2.2067999999999999,0.47545208096881464,-0.30512224170443275,-0.011038915650530605,-0.0029260217068801395,-0.013964937357410742,2.8888949165808537e-35,-0.013523486886757426,-0.00044145047065331886
2.2073999999999998,0.47526827163945373,-0.30757559929130629,-0.011219270483045685,-0.0029711419088652461,-0.014190412391910932,-1.1555579666323415e-34,-0.013742746625530884,-0.00044766576638004632
2.2079999999999997,0.47508299050120162,-0.31002828715211667,-0.011401088102264059,-0.0030165427229072372,-0.014417630825171297,0,-0.013963730364761557,-0.00045390046040973993
2.2085999999999997,0.47489623795726049,-0.31248030090534784,-0.011584368572843831,-0.0030622221952406781,-0.014646590768084508,0,-0.014186436895866112,-0.00046015387221839146
2.2091999999999996,0.4747080144134424,-0.31493163616708403,-0.011769111958991231,-0.0031081783598402566,-0.014877290318831487,1.1555579666323415e-34,-0.014410865000421328,-0.00046642531841015704
2.2098,0.4745183202781692,-0.31738228855101153,-0.011955318324394391,-0.0031544092384872403,-0.015109727562881632,0,-0.014637013450107398,-0.00047271411277423749
2.2103999999999999,0.47432715596247255,-0.31983225366841178,-0.012142987732156097,-0.0032009128408362008,-0.0153439005729923,1.1555579666323415e-34,-0.014864881006650227,-0.00047901956634206847
2.2109999999999999,0.47413452187999383,-0.3222815271281721,-0.01233212024472744,-0.0032476871644825703,-0.015579807409210007,0,-0.015094466421765098,-0.00048534098744491155
2.2115999999999998,0.47394041844698381,-0.32473010453677803,-0.012522715923839727,-0.0032947301950302901,-0.015817446118870013,0,-0.015325768437098285,-0.00049167768177173427
2.2121999999999997,0.47374484608230316,-0.32717798149831612,-0.01271477483043674,-0.0033420399061601332,-0.016056814736596876,0,-0.015558785784169409,-0.0004980289524274638
2.2127999999999997,0.47354780520742273,-0.32962515361447281,-0.012908297024606294,-0.0033896142596984229,-0.016297911284304713,0,-0.015793517184313145,-0.00050439409999157028
2.2133999999999996,0.47334929624642247,-0.33207161648453504,-0.013103282565511609,-0.0034374512056862118,-0.016540733771197823,1.1555579666323415e-34,-0.016029961348620843,-0.00051077242257697661
2.214,0.47314931962599216,-0.33451736570539214,-0.01329973151132227,-0.0034855486824489908,-0.016785280193771259,1.1555579666323415e-34,-0.016268116977881934,-0.00051716321588933024
2.2145999999999999,0.47294787577543179,-0.3369623968715284,-0.013497643919144165,-0.003533904616666644,-0.017031548535810809,-1.1555579666323415e-34,-0.01650798276252425,-0.00052356577328656025
2.2151999999999998,0.47274496512665048,-0.33940670557503361,-0.013697019844950404,-0.0035825169234442239,-0.01727953676839462,-1.1555579666323415e-34,-0.016749557382555805,-0.00052997938583882473
2.2157999999999998,0.47254058811416755,-0.34185028740559659,-0.013897859343510491,-0.0036313835063828603,-0.017529242849893354,0,-0.016992839507504607,-0.0005364033423887394
2.2163999999999997,0.47233474517511181,-0.34429313795050637,-0.014100162468319704,-0.0036805022576512541,-0.017780664725970962,-1.1555579666323415e-34,-0.017237827796359011,-0.00054283692961194991
2.2169999999999996,0.47212743674922153,-0.34673525279465217,-0.014303929271528085,-0.0037298710580576152,-0.018033800329585702,1.1555579666323415e-34,-0.017484520897507686,-0.00054927943207801796
2.2176,0.47191866328449317,-0.34917662702136709,-0.014509159762302852,-0.0037794877663999814,-0.018288647528702837,0,-0.017732917397944584,-0.000555730130758249
2.2181999999999999,0.47170842522166767,-0.35161725658344617,-0.014715854020248664,-0.0038293502488416851,-0.018545204269090353,0,-0.017983015961751895,-0.00056218830733845355
2.2187999999999999,0.4714967230081023,-0.35405713707719549,-0.0149240120943935,-0.0038794563529014944,-0.018803468447294993,0,-0.018234815206802934,-0.00056865324049205847
2.2193999999999998,0.47128355709407599,-0.35649626406890395,-0.015133634029826917,-0.0039298039144359392,-0.019063437944262861,1.1555579666323415e-34,-0.018488313737315638,-0.00057512420694722183
2.2199999999999998,0.47106892793248156,-0.35893463312214341,-0.015344719869882969,-0.0039803907582961874,-0.019325110628179158,1.1555579666323415e-34,-0.018743510146545267,-0.00058160048163388906
2.2205999999999997,0.47085283597882499,-0.3613722397977685,-0.015557269656065874,-0.004031214698402512,-0.019588484354468385,0,-0.019000403016721821,-0.00058808133774656656
2.2211999999999996,0.47063528169122565,-0.36380907965391712,-0.015771283427975288,-0.0040822735378192422,-0.019853556965794526,0,-0.019258990918987116,-0.00059456604680741302
2.2218,0.47041626553041588,-0.36624514824601134,-0.015986761223231262,-0.0041335650688301643,-0.020120326292061431,0,-0.019519272413331793,-0.000601053878729635
2.2223999999999999,0.47019578795974198,-0.36868044112675113,-0.016203703077398157,-0.0041850870730142141,-0.02038879015041237,0,-0.019781246048531206,-0.00060754410188116779
2.2229999999999999,0.46997384944516291,-0.37111495384612464,-0.016422109023909708,-0.0042368373213219771,-0.020658946345231684,0,-0.020044910362082988,-0.00061403598314869611
2.2235999999999998,0.46975045045525149,-0.37354868195140117,-0.016641979093992093,-0.0042888135741522681,-0.020930792668144352,0,-0.020310263880142419,-0.00062052878800194166
2.2241999999999997,0.4695255914611936,-0.37598162098713289,-0.016863313316587487,-0.0043410135814293208,-0.021204326898016799,0,-0.020577305117458561,-0.0006270217805582495
2.2247999999999997,0.46929927293678825,-0.37841376649515485,-0.017086111718277033,-0.0043934350826804035,-0.021479546800957431,0,-0.020846032577309957,-0.00063351422364747625
2.2253999999999996,0.46907149535844794,-0.38084511401458515,-0.017310374323203471,-0.0044460758071138817,-0.021756450130317354,0,-0.021116444751440182,-0.00064000537887717033
2.226,0.46884225920519867,-0.38327565908182643,-0.017536101152993522,-0.0044989334736977417,-0.022035034626691274,0,-0.021388540119993221,-0.00064649450669804242
2.2265999999999999,0.46861156495867967,-0.38570539723055891,-0.01776329222667913,-0.0045520057912383583,-0.022315298017917491,1.1555579666323415e-34,-0.021662317151447799,-0.00065298086646969151
2.2271999999999998,0.46837941310314346,-0.38813432399175107,-0.01799194756061992,-0.004605290458460116,-0.022597238019080031,0,-0.021937774302553361,-0.0006594637165266748
2.2277999999999998,0.4681458041254557,-0.39056243489365267,-0.018222067168423752,-0.0046587851640850471,-0.022880852332508795,0,-0.022214910018263995,-0.00066594231424479955
