"Time","revolute1.phi","revolute1.w","revolute4.phi","revolute4.w"
3.6499999999999999,0.30073614134750282,-0.028474412599128696,-0.48118908709761565,0.095905688250946267
3.6505000000000001,0.30072193257611618,-0.028360688424374371,-0.48114089180093889,0.096874483368444939
3.6510000000000002,0.30070778066729381,-0.028246959848056811,-0.48109221218726556,0.097843053268905827
3.6515,0.30069368562327786,-0.02813322684368505,-0.48104304837143458,0.098811394490187096
3.6520000000000001,0.30067964744632508,-0.028019489382971226,-0.48099340047005573,0.099779503567953565
3.6524999999999999,0.30066566613870721,-0.027905747435831265,-0.48094326860151204,0.10074737703568044
3.653,0.30065174170271208,-0.027792000970384017,-0.48089265288596139,0.10171501142466978
3.6535000000000002,0.30063787414064463,-0.027678249952952007,-0.48084155344533808,0.10268240326405406
3.6539999999999999,0.30062406345482778,-0.027564494348061075,-0.48078997040335469,0.10364954908080846
3.6545000000000001,0.30061030963035523,-0.027450735403893398,-0.48073790371968345,0.10461644746172392
3.6550000000000002,0.30059661263286563,-0.027336975818256913,-0.48068535316854799,0.10558309931963915
3.6555,0.30058297251347554,-0.027223211918201862,-0.48063231934753697,0.10654949534898363
3.6560000000000001,0.3005693892743948,-0.027109443675494872,-0.48057880238563228,0.10751563209134542
3.6564999999999999,0.30055586291785208,-0.02699567106039524,-0.48052480241356565,0.10848150608666363
3.657,0.30054239344609512,-0.026881894041656692,-0.48047031956381986,0.10944711387324885
3.6575000000000002,0.30052898086139224,-0.02676811258653055,-0.4804153539706304,0.11041245198779095
3.6579999999999999,0.30051562516603292,-0.026654326660767943,-0.48035990576998677,0.11137751696537523
3.6585000000000001,0.30050232636232838,-0.026540536228622052,-0.4803039750996338,0.11234230533949868
3.6590000000000003,0.30048908445261313,-0.026426741252851167,-0.48024756209907327,0.11330681364207856
3.6595,0.30047589943924502,-0.026312941694720957,-0.48019066690956524,0.11427103840346861
3.6600000000000001,0.30046277132460691,-0.026199137514006602,-0.48013328967412933,0.11523497615247531
3.6604999999999999,0.300449700111107,-0.026085328668996093,-0.48007543053754648,0.11619862341636555
3.661,0.30043668580117971,-0.025971515116491848,-0.48001708964635997,0.11716197672088718
3.6615000000000002,0.30042372839728693,-0.025857696811813997,-0.47995826714887713,0.11812503259027665
3.6619999999999999,0.30041082790191864,-0.025743873708802548,-0.47989896319517084,0.11908778754727527
3.6625000000000001,0.30039798431759362,-0.025630045759819621,-0.47983917793708064,0.12005023811314552
3.6630000000000003,0.30038519764686056,-0.025516212915752522,-0.47977891152821422,0.12101238080767952
3.6635,0.30037246789229899,-0.025402375126015998,-0.47971816412394924,0.12197421214921521
3.6640000000000001,0.30035979505651988,-0.025288532338554406,-0.47965693588143404,0.12293572865465276
3.6644999999999999,0.3003471791421668,-0.025174684499844946,-0.47959522695959,0.12389692683946217
3.665,0.30033462015191642,-0.025060831554899358,-0.47953303751911197,0.12485780321770368
3.6655000000000002,0.30032211808847969,-0.024946973447267151,-0.47947036772247031,0.12581835430203575
3.6659999999999999,0.3003096729546027,-0.024833110119037782,-0.47940721773391237,0.12677857660373085
3.6665000000000001,0.30029728475306722,-0.024719241510842874,-0.47934358771946345,0.12773846663269234
3.6670000000000003,0.30028495348669226,-0.02460536756185935,-0.47927947784692843,0.12869802089746224
3.6675,0.30027267915833394,-0.024491488209811608,-0.4792148882858937,0.1296572359052382
3.6680000000000001,0.30026046177088739,-0.024377603390973755,-0.47914981920772753,0.13061610816188923
3.6684999999999999,0.3002483013272868,-0.024263713040172791,-0.47908427078558258,0.13157463417196366
3.669,0.3002361978305067,-0.024149817090790348,-0.47901824319439668,0.13253281043870954
3.6695000000000002,0.30022415128356295,-0.024035915474765881,-0.47895173661089424,0.13349063346408238
3.6699999999999999,0.30021216168951309,-0.023922008122598881,-0.47888475121358814,0.13444809974876143
3.6705000000000001,0.30020022905145782,-0.023808094963351074,-0.47881728718278066,0.13540520579216569
3.6710000000000003,0.30018835337254135,-0.023694175924649546,-0.47874934470056518,0.13636194809246285
3.6715,0.30017653465595273,-0.023580250932688947,-0.47868092395082762,0.13731832314658521
3.6720000000000002,0.30016477290492627,-0.023466319912233698,-0.47861202511924761,0.13827432745024601
3.6724999999999999,0.30015306812274267,-0.02335238278662119,-0.47854264839330019,0.13922995749794717
3.673,0.30014142031272989,-0.023238439477763523,-0.47847279396225695,0.14018520978299981
3.6735000000000002,0.30012982947826411,-0.02312448990615067,-0.47840246201718789,0.14114008079753176
3.6739999999999999,0.30011829562277009,-0.02301053399085274,-0.47833165275096257,0.14209456703250414
3.6745000000000001,0.30010681874972278,-0.022896571649522132,-0.4782603663582512,0.14304866497772725
3.6750000000000003,0.30009539886264763,-0.022782602798396681,-0.47818860303552685,0.14400237112186934
3.6755,0.30008403596512168,-0.022668627352301872,-0.47811636298106608,0.14495568195247277
3.6760000000000002,0.30007273006077428,-0.022554645224653013,-0.47804364639495089,0.14590859395597028
3.6764999999999999,0.30006148115328829,-0.022440656327458459,-0.47797045347907002,0.14686110361769267
3.677,0.30005028924640048,-0.022326660571321356,-0.47789678443712014,0.14781320742188928
3.6775000000000002,0.30003915434390299,-0.022212657865442791,-0.47782263947460768,0.14876490185173569
3.6779999999999999,0.30002807644964352,-0.022098648117624048,-0.47774801879884982,0.14971618338935008
3.6785000000000001,0.30001705556752667,-0.021984631234268793,-0.47767292261897637,0.15066704851580923
3.6790000000000003,0.30000609170151465,-0.021870607120386194,-0.47759735114593077,0.15161749371115735
3.6795,0.29999518485562826,-0.021756575679593118,-0.47752130459247172,0.15256751545442207
