"Time","body.phi","body.r[1]","body.r[2]","body.v[1]","body.v[2]","body.w"
4.8494999999999999,0,-1.0014753653539401,-0.98246134938307761,-0.047862408860190567,-0.047407715976021059,0
4.8500000000000005,0,-1.0014992820451252,-0.98248503886569627,-0.047807138406707278,-0.047352970591845865,0
4.8505000000000003,0,-1.0015231710856816,-0.98250870096036735,-0.047751803741830447,-0.04729816160628536,0
4.851,0,-1.0015470324437061,-0.98253233563549092,-0.047696405067757706,-0.047243289219616312,0
4.8514999999999997,0,-1.0015708660874014,-0.98255594285957093,-0.047640942586637459,-0.047188353632066679,0
4.8520000000000003,0,-1.0015946719850743,-0.98257952260121595,-0.047585416500568099,-0.047133355043814995,0
4.8525,0,-1.0016184501051382,-0.98260307482913911,-0.04752982701159799,-0.047078293654990097,0
4.8529999999999998,0,-1.0016422004161107,-0.98262659951215747,-0.047474174321724141,-0.047023169665670043,0
4.8535000000000004,0,-1.0016659228866158,-0.98265009661919278,-0.047418458632892069,-0.046967983275881892,0
4.8540000000000001,0,-1.0016896174853824,-0.98267356611927126,-0.04736268014699551,-0.046912734685601351,0
4.8544999999999998,0,-1.0017132841812457,-0.98269700798152371,-0.047306839065875232,-0.046857424094751715,0
4.8550000000000004,0,-1.0017369229431448,-0.98272042217518496,-0.04725093559131878,-0.046802051703203541,0
4.8555000000000001,0,-1.0017605337401263,-0.9827438086695951,-0.047194969925060282,-0.046746617710774499,0
4.8559999999999999,0,-1.001784116541341,-0.98276716743419823,-0.047138942268779238,-0.04669112231722812,0
4.8565000000000005,0,-1.0018076713160462,-0.9827904984385436,-0.047082852824100241,-0.046635565722273585,0
4.8570000000000002,0,-1.0018311980336037,-0.98281380165228427,-0.047026701792592815,-0.046579948125565464,0
4.8574999999999999,0,-1.0018546966634823,-0.98283707704517898,-0.046970489375770114,-0.046524269726702566,0
4.8580000000000005,0,-1.0018781671752555,-0.98286032458709049,-0.046914215775088808,-0.04646853072522774,0
4.8585000000000003,0,-1.0019016095386031,-0.98288354424798619,-0.046857881191948739,-0.046412731320627516,0
4.859,0,-1.0019250237233104,-0.98290673599793865,-0.046801485827691815,-0.046356871712331021,0
4.8594999999999997,0,-1.0019484096992681,-0.98292989980712497,-0.046745029883601803,-0.046300952099709858,0
4.8600000000000003,0,-1.0019717674364739,-0.98295303564582714,-0.046688513560903588,-0.046244972682077286,0
4.8605,0,-1.00199509690503,-0.98297614348443207,-0.046631937060763066,-0.046188933658688085,0
4.8609999999999998,0,-1.0020183980751451,-0.98299922329343126,-0.046575300584285897,-0.046132835228737457,0
4.8615000000000004,0,-1.0020416709171345,-0.98302227504342143,-0.046518604332517324,-0.046076677591360686,0
4.8620000000000001,0,-1.0020649154014174,-0.98304529870510393,-0.046461848506441902,-0.046020460945632967,0
4.8624999999999998,0,-1.0020881314985211,-0.98306829424928499,-0.046405033306982278,-0.045964185490568223,0
4.8630000000000004,0,-1.0021113191790778,-0.98309126164687644,-0.046348158934999044,-0.045907851425118829,0
4.8635000000000002,0,-1.0021344784138255,-0.98311420086889445,-0.046291225591290383,-0.045851458948175397,0
4.8639999999999999,0,-1.00215760917361,-0.98313711188646025,-0.046234233476590961,-0.045795008258565612,0
4.8645000000000005,0,-1.0021807114293804,-0.98315999467080106,-0.046177182791571639,-0.04573849955505397,0
4.8650000000000002,0,-1.0022037851521932,-0.98318284919324772,-0.046120073736839275,-0.045681933036341563,0
4.8654999999999999,0,-1.0022268303132129,-0.98320567542523718,-0.046062906512935473,-0.045625308901064844,0
4.8659999999999997,0,-1.0022498468837069,-0.98322847333831154,-0.046005681320336542,-0.045568627347795598,0
4.8665000000000003,0,-1.0022728348350507,-0.98325124290411769,-0.045948398359452608,-0.045511888575040065,0
4.867,0,-1.0022957941387258,-0.9832739840944078,-0.045891057830627587,-0.045455092781238889,0
4.8674999999999997,0,-1.0023187247663199,-0.98329669688103971,-0.045833659934137932,-0.045398240164765874,0
