"Time","damper.phi_rel","damper.w_rel","relativeForce_inWorld.frame_b.fx","relativeForce_inWorld.frame_b.fy","relativeForce_inFrameA.frame_b.fx","relativeForce_inFrameA.frame_b.fy","relativeForce_inFrameB.frame_b.fx","relativeForce_inFrameB.frame_b.fy","relativeForce_inFrameResolve.frame_b.fx","relativeForce_inFrameResolve.frame_b.fy"
2.4383999999999997,-0.071760457262799837,0.3563427572369563,0.76406633030304372,0,0.73068026554002341,0.2233913755119494,0.76209987044921845,-0.054782703146562355,0.76209987044921845,-0.054782703146562355
2.4389999999999996,-0.071547535075686605,0.35339615160929921,0.76649300680934784,0,0.73300090782418581,0.22410086705890817,0.76453198564340852,-0.054793908564565452,0.76453198564340852,-0.054793908564565452
2.4396,-0.071336384340913911,0.35043806333554178,0.76890878975339105,0,0.73531113254294866,0.22480717363649819,0.76695317711006017,-0.054804662947683672,0.76695317711006017,-0.054804662947683672
2.4401999999999999,-0.071127012097673192,0.34746854851999676,0.77131364480154596,0,0.73761090686290098,0.22551028520653835,0.76936340934394609,-0.054814989005790578,0.76936340934394609,-0.054814989005790578
2.4407999999999999,-0.070919424982451185,0.34448766629666366,0.77370753777550261,0,0.73990019809916219,0.22621019177625784,0.77176264702922415,-0.054824909129664687,0.77176264702922415,-0.054824909129664687
2.4413999999999998,-0.07071362979753272,0.34149547443884098,0.77609043465274052,0,0.7421789737158343,0.22690688339843437,0.77415085500861569,-0.054834445824763899,0.77415085500861569,-0.054834445824763899
2.4419999999999997,-0.070509633310283856,0.33849203090679525,0.77846230156702179,0,0.7444472013264728,0.22760035017153826,0.77652799829475749,-0.054843621555854899,0.77652799829475749,-0.054843621555854899
2.4425999999999997,-0.070307442253023975,0.33547739384696423,0.78082310480886741,0,0.74670484869454268,0.22829058223987164,0.77889404207054214,-0.054852458745001123,0.77889404207054214,-0.054852458745001123
2.4431999999999996,-0.070107063322898192,0.33245162159116121,0.78317281082603862,0,0.74895188373387855,0.22897756979370926,0.78124895168946151,-0.054860979769554355,0.78124895168946151,-0.054860979769554355
2.4438,-0.069908503181749362,0.32941477265577573,0.78551138622401206,0,0.75118827450913861,0.22966130306943741,0.78359269267594212,-0.054869206960148929,0.78359269267594212,-0.054869206960148929
2.4443999999999999,-0.069711768455990725,0.32636690574098703,0.78783879776645138,0,0.75341398923625669,0.23034177234969178,0.78592523072567366,-0.054877162598699528,0.78592523072567366,-0.054877162598699528
2.4449999999999998,-0.06951686573647739,0.32330807972995407,0.79015501237568908,0,0.7556289962829017,0.23101896796349833,0.78824653170594705,-0.05488486891640227,0.78824653170594705,-0.05488486891640227
2.4455999999999998,-0.069323801578379043,0.32023835368802761,0.79245999713318871,0,0.75783326416892094,0.23169288028640841,0.79055656165596955,-0.054892348091739138,0.79055656165596955,-0.054892348091739138
2.4461999999999997,-0.069132582501052017,0.31715778686195301,0.7947537192800157,0,0.76002676156678928,0.23236349974063653,0.79285528678718631,-0.054899622248486206,0.79285528678718631,-0.054899622248486206
2.4467999999999996,-0.068943214987911533,0.31406643867907269,0.79703614621729912,0,0.76220945730205159,0.23303081679519519,0.79514267348359202,-0.054906713453725331,0.79514267348359202,-0.054906713453725331
2.4473999999999996,-0.068755705486303859,0.3109643687465305,0.79930724550670107,0,0.76438132035377093,0.23369482196603225,0.7974186883020471,-0.054913643715860307,0.7974186883020471,-0.054913643715860307
