"Time","damper.phi_rel","damper.w_rel","cutForce_inFrameA.force[1]","cutForce_inFrameA.force[2]","cutForce_inWorld.force[1]","cutForce_inWorld.force[2]","cutForce_inFrameResolve.force[1]","cutForce_inFrameResolve.force[2]"
2.4101999999999997,-0.18855067217937846,0.20791482517951348,-1.6879630421462217,1.1946683860188525,-1.6879630421462217,1.1946683860188525,-1.6879630421462217,1.1946683860188525
2.4107999999999996,-0.18842750245101869,0.20264749208220834,-1.6847264484679909,1.1943236589350352,-1.6847264484679909,1.1943236589350352,-1.6847264484679909,1.1943236589350352
2.4114,-0.1883074930703392,0.19738032440125289,-1.6815705882305856,1.1940006107957775,-1.6815705882305856,1.1940006107957775,-1.6815705882305856,1.1940006107957775
2.4119999999999999,-0.18819064393968557,0.19211332536749412,-1.6784954674488279,1.1936991812573385,-1.6784954674488279,1.1936991812573385,-1.6784954674488279,1.1936991812573385
2.4125999999999999,-0.18807695495966312,0.18684649820544449,-1.6755010915686457,1.1934193114763278,-1.6755010915686457,1.1934193114763278,-1.6755010915686457,1.1934193114763278
2.4131999999999998,-0.18796642602914762,0.18157984613344974,-1.6725874654691049,1.1931609441100228,-1.6725874654691049,1.1931609441100228,-1.6725874654691049,1.1931609441100228
2.4137999999999997,-0.18785905704529576,0.17631337236383712,-1.6697545934643907,1.1929240233166585,-1.6697545934643907,1.1929240233166585,-1.6697545934643907,1.1929240233166585
2.4143999999999997,-0.18775484790355532,0.17104708010306743,-1.6670024793057303,1.1927084947557116,-1.6670024793057303,1.1927084947557116,-1.6670024793057303,1.1927084947557116
2.4149999999999996,-0.18765379849767594,0.16578097255188742,-1.6643311261832878,1.1925143055881229,-1.6643311261832878,1.1925143055881229,-1.6643311261832878,1.1925143055881229
2.4156,-0.18755590871971908,0.16051505290547782,-1.6617405367279887,1.1923414044765437,-1.6617405367279887,1.1923414044765437,-1.6617405367279887,1.1923414044765437
2.4161999999999999,-0.18746117846006907,0.15524932435362115,-1.659230713013321,1.1921897415855387,-1.659230713013321,1.1921897415855387,-1.659230713013321,1.1921897415855387
2.4167999999999998,-0.18736960760744295,0.14998379008083068,-1.656801656557064,1.1920592685817493,-1.656801656557064,1.1920592685817493,-1.656801656557064,1.1920592685817493
2.4173999999999998,-0.18728119604890103,0.14471845326651808,-1.6544533683229885,1.1919499386340551,-1.6544533683229885,1.1919499386340551,-1.6544533683229885,1.1919499386340551
2.4179999999999997,-0.18719594366985751,0.13945331708514153,-1.6521858487225016,1.1918617064137251,-1.6521858487225016,1.1918617064137251,-1.6521858487225016,1.1918617064137251
2.4185999999999996,-0.18711385035409075,0.13418838470635816,-1.649999097616246,1.1917945280945013,-1.649999097616246,1.1917945280945013,-1.649999097616246,1.1917945280945013
2.4191999999999996,-0.1870349159837538,0.1289236592951761,-1.6478931143156497,1.1917483613527136,-1.6478931143156497,1.1917483613527136,-1.6478931143156497,1.1917483613527136
2.4198,-0.18695914043938452,0.12365914401210265,-1.6458678975844274,1.1917231653673301,-1.6458678975844274,1.1917231653673301,-1.6458678975844274,1.1917231653673301
2.4203999999999999,-0.18688652359991656,0.11839484201331212,-1.6439234456400438,1.1917189008200069,-1.6439234456400438,1.1917189008200069,-1.6439234456400438,1.1917189008200069
2.4209999999999998,-0.1868170653426891,0.11313075645077474,-1.6420597561551094,1.191735529895114,-1.6420597561551094,1.191735529895114,-1.6420597561551094,1.191735529895114
2.4215999999999998,-0.1867507655434579,0.1078668904724242,-1.640276826258751,1.1917730162797397,-1.640276826258751,1.1917730162797397,-1.640276826258751,1.1917730162797397
2.4221999999999997,-0.18668762407640521,0.102603247222306,-1.638574652537919,1.1918313251636548,-1.638574652537919,1.1918313251636548,-1.638574652537919,1.1918313251636548
2.4227999999999996,-0.18662764081415056,0.097339829840729725,-1.6369532310386552,1.1919104232392854,-1.6369532310386552,1.1919104232392854,-1.6369532310386552,1.1919104232392854
2.4234,-0.18657081562776084,0.09207664146441713,-1.6354125572673062,1.1920102787016447,-1.6354125572673062,1.1920102787016447,-1.6354125572673062,1.1920102787016447
2.4239999999999999,-0.18651714838676128,0.086813685226670059,-1.6339526261917021,1.1921308612482342,-1.6339526261917021,1.1921308612482342,-1.6339526261917021,1.1921308612482342
2.4245999999999999,-0.18646663895914514,0.081550964257499109,-1.6325734322422647,1.1922721420789628,-1.6325734322422647,1.1922721420789628,-1.6325734322422647,1.1922721420789628
2.4251999999999998,-0.18641928721138473,0.076288481683791487,-1.6312749693130946,1.1924340938959848,-1.6312749693130946,1.1924340938959848,-1.6312749693130946,1.1924340938959848
2.4257999999999997,-0.18637509300844149,0.071026240629459197,-1.6300572307629901,1.1926166909035754,-1.6300572307629901,1.1926166909035754,-1.6300572307629901,1.1926166909035754
2.4263999999999997,-0.18633405621377649,0.065764244215591267,-1.6289202094164286,1.1928199088079481,-1.6289202094164286,1.1928199088079481,-1.6289202094164286,1.1928199088079481
2.4269999999999996,-0.18629617668936105,0.060502495560605843,-1.6278638975644995,1.1930437248170573,-1.6278638975644995,1.1930437248170573,-1.6278638975644995,1.1930437248170573
2.4276,-0.18626145429568675,0.055240997780398558,-1.6268882869657821,1.193288117640396,-1.6268882869657821,1.193288117640396,-1.6268882869657821,1.193288117640396
2.4281999999999999,-0.18622988889177625,0.04997975398851022,-1.6259933688471913,1.1935530674887485,-1.6259933688471913,1.1935530674887485,-1.6259933688471913,1.1935530674887485
2.4287999999999998,-0.1862014803351936,0.044718767296255589,-1.6251791339047557,1.1938385560739384,-1.6251791339047557,1.1938385560739384,-1.6251791339047557,1.1938385560739384
2.4293999999999998,-0.18617622739871789,0.039458041626614634,-1.6244455633783199,1.1941445630304717,-1.6244455633783199,1.1941445630304717,-1.6244455633783199,1.1941445630304717
2.4299999999999997,-0.18615412976793569,0.034197580213946512,-1.6237926454854257,1.1944710725107726,-1.6237926454854257,1.1944710725107726,-1.6237926454854257,1.1944710725107726
2.4305999999999996,-0.18613518831622144,0.028937385397594065,-1.6232203777262091,1.1948180740956094,-1.6232203777262091,1.1948180740956094,-1.6232203777262091,1.1948180740956094
2.4311999999999996,-0.18611940288372897,0.023677460290313281,-1.6227287485786299,1.1951855554580408,-1.6227287485786299,1.1951855554580408,-1.6227287485786299,1.1951855554580408
2.4318,-0.18610677330888728,0.018417808003641841,-1.6223177459900602,1.1955735057693193,-1.6223177459900602,1.1955735057693193,-1.6223177459900602,1.1955735057693193
2.4323999999999999,-0.1860972994284073,0.013158431648069542,-1.6219873573777461,1.1959819156984768,-1.6219873573777461,1.1959819156984768,-1.6219873573777461,1.1959819156984768
2.4329999999999998,-0.18609098107728847,0.0078993343331701677,-1.6217375696292189,1.1964107774119146,-1.6217375696292189,1.1964107774119146,-1.6217375696292189,1.1964107774119146
2.4335999999999998,-0.18608781808882532,0.0026405191677718932,-1.6215683691026681,1.1968600845729167,-1.6215683691026681,1.1968600845729167,-1.6215683691026681,1.1968600845729167
2.4341999999999997,-0.18608781029461419,-0.0026180107398915552,-1.6214797416272568,1.197329832341218,-1.6214797416272568,1.197329832341218,-1.6214797416272568,1.197329832341218
2.4347999999999996,-0.18609095752455987,-0.0078762522820258959,-1.6214716725033997,1.1978200173724751,-1.6214716725033997,1.1978200173724751,-1.6214716725033997,1.1978200173724751
