"Time","heatCapacitor.T","planetary.bearing_Planet.phi","planetary.bearing_Planet.w","planetary.bearing_Ring.w","planetary.planet.phi","planetary.planet.w","planetary.planetRing.frame_b.phi","planetary.planetRing.phi_gear","planetary.sunPlanet.frame_a.phi","planetary.sunPlanet.phi_gear"
9.6460000000000008,293.14999999999998,-9.9572083119544512,0.74401237002249898,1.992016493363332,-10.268416623908902,2.488024740044998,-3.6302777492725999,-0.31120831195444959,9.6460000000000008,-0.31120831195444959
9.6479999999999997,293.14999999999998,-9.9557289521412198,0.73534977405594759,1.98046636540793,-10.26345790428244,2.4706995481118952,-3.6263052695216267,-0.30772895214122037,9.6479999999999997,-0.30772895214122037
9.6500000000000004,293.14999999999998,-9.954266926459681,0.72667686518811103,1.9689024869174814,-10.258533852919362,2.4533537303762221,-3.6223559019462415,-0.30426692645968123,9.6500000000000004,-0.30426692645968123
9.652000000000001,293.14999999999998,-9.9528222551677299,0.71799380382123745,1.9573250717616499,-10.253644510335459,2.4359876076424749,-3.6184296735569719,-0.30082225516772915,9.652000000000001,-0.30082225516772915
9.6539999999999999,293.14999999999998,-9.9513949633708769,0.70930082976980713,1.945734439693076,-10.248789926741754,2.4186016595396143,-3.6145266178278357,-0.29739496337087729,9.6539999999999999,-0.29739496337087729
9.6560000000000006,293.14999999999998,-9.9499850695231817,0.7005980822774216,1.9341307763698954,-10.243970139046363,2.4011961645548432,-3.6106467593642408,-0.29398506952318088,9.6560000000000006,-0.29398506952318088
9.6579999999999995,293.14999999999998,-9.9485925907819741,0.69188568375523007,1.9225142450069734,-10.239185181563949,2.3837713675104601,-3.6067901210426321,-0.29059259078197403,9.6579999999999995,-0.29059259078197403
9.6600000000000001,293.14999999999998,-9.94721754627985,0.68316379093079682,1.9108850545743956,-10.2344350925597,2.3663275818615936,-3.6029567283731336,-0.28721754627985019,9.6600000000000001,-0.28721754627985019
9.6620000000000008,293.14999999999998,-9.9458599548335478,0.67443255894724241,1.8992434119296564,-10.229719909667098,2.3488651178944848,-3.5991466064447324,-0.28385995483354942,9.6620000000000008,-0.28385995483354942
9.6639999999999997,293.14999999999998,-9.9445198349467567,0.66569214135700294,1.8875895218093373,-10.225039669893514,2.3313842827140059,-3.5953597799290096,-0.28051983494675758,9.6639999999999997,-0.28051983494675758
9.6660000000000004,293.14999999999998,-9.9431972048129023,0.65694269011558681,1.8759235868207824,-10.220394409625808,2.3138853802311736,-3.591596273083872,-0.27719720481290444,9.6660000000000004,-0.27719720481290444
9.668000000000001,293.14999999999998,-9.9418920823179899,0.64818435557540455,1.8642458074338726,-10.215784164635979,2.2963687111508091,-3.5878561097573183,-0.27389208231798828,9.668000000000001,-0.27389208231798828
9.6699999999999999,293.14999999999998,-9.9406044850433748,0.63941728647952667,1.8525563819727022,-10.21120897008675,2.2788345729590533,-3.5841393133911663,-0.27060448504337481,9.6699999999999999,-0.27060448504337481
9.6720000000000006,293.14999999999998,-9.9393344302685964,0.63064162995544337,1.8408555066072578,-10.206668860537192,2.2612832599108867,-3.5804459070247945,-0.26733443026859555,9.6720000000000006,-0.26733443026859555
9.6739999999999995,293.14999999999998,-9.9380819349741749,0.62185753150890011,1.8291433753452,-10.20216386994835,2.2437150630178002,-3.5767759132988997,-0.26408193497417493,9.6739999999999995,-0.26408193497417493
9.6760000000000002,293.14999999999998,-9.9368470158444158,0.61306513501761617,1.8174201800234882,-10.197694031688831,2.2261302700352323,-3.57312935445922,-0.26084701584441522,9.6760000000000002,-0.26084701584441522
9.6780000000000008,293.14999999999998,-9.9356296892702236,0.60426458272512318,1.8056861103001642,-10.193259378540446,2.2085291654502464,-3.5695062523602976,-0.25762968927022339,9.6780000000000008,-0.25762968927022339
9.6799999999999997,293.14999999999998,-9.9344299713519071,0.59545601523452296,1.7939413536460305,-10.188859942703818,2.1909120304690459,-3.5659066284692127,-0.25442997135190998,9.6799999999999997,-0.25442997135190998
9.6820000000000004,293.14999999999998,-9.9332478779019873,0.58663957150224411,1.7821860953363253,-10.184495755803974,2.1732791430044882,-3.5623305038693163,-0.25124787790198749,9.6820000000000004,-0.25124787790198749
9.6840000000000011,293.14999999999998,-9.9320834244479972,0.57781538883187422,1.7704205184424988,-10.180166848895993,2.1556307776637484,-3.5587778992639945,-0.24808342444799544,9.6840000000000011,-0.24808342444799544
9.6859999999999999,293.14999999999998,-9.9309366262352956,0.56898360286791538,1.7586448038238871,-10.175873252470595,2.1379672057358308,-3.555248834980397,-0.24493662623529813,9.6859999999999999,-0.24493662623529813
9.6880000000000006,293.14999999999998,-9.9298074982298843,0.5601443475895429,1.7468591301193905,-10.171614996459768,2.1202886951790858,-3.5517433309731787,-0.24180749822988404,9.6880000000000006,-0.24180749822988404
9.6899999999999995,293.14999999999998,-9.9286960562267375,0.55129778800634921,1.7350637173417989,-10.167392112453479,2.1025955760126984,-3.5482614083023201,-0.23869605622674056,9.6899999999999995,-0.23869605622674056
9.6920000000000002,293.14999999999998,-9.9276023164007405,0.54244410678500254,1.7232588090466701,-10.163204632801481,2.0848882135700051,-3.5448030885343202,-0.23560231640074031,9.6920000000000002,-0.23560231640074031
