"Time","inertia.phi","prismatic.s","revolute.phi","revolute.w"
4.6539999999999999,10.884279397099348,1,-3.2652838191298033,-1.40321608040201
4.6559999999999997,10.893636181018952,1,-3.2680908543056844,-1.4038190954773868
4.6580000000000004,10.902996985039062,1,-3.2708990955117172,-1.4044221105527639
4.6600000000000001,10.91236180915967,1,-3.2737085427478996,-1.4050251256281407
4.6619999999999999,10.921730653380784,1,-3.2765191960142337,-1.4056281407035176
4.6639999999999997,10.931103517702395,1,-3.2793310553107169,-1.4062311557788942
4.6660000000000004,10.940480402124516,1,-3.2821441206373536,-1.4068341708542715
4.6680000000000001,10.949861306647135,1,-3.284958391994139,-1.4074371859296482
4.6699999999999999,10.959246231270258,1,-3.2877738693810752,-1.408040201005025
4.6719999999999997,10.96863517599388,1,-3.2905905527981623,-1.4086432160804019
4.6740000000000004,10.978028140818012,1,-3.2934084422454024,-1.409246231155779
4.6760000000000002,10.987425125742639,1,-3.2962275377227908,-1.4098492462311558
4.6779999999999999,10.996826130767772,1,-3.29904783923033,-1.4104522613065327
4.6799999999999997,11.006231155893405,1,-3.3018693467680196,-1.4110552763819093
4.6820000000000004,11.015640201119545,1,-3.3046920603358627,-1.4116582914572866
4.6840000000000002,11.025053266446184,1,-3.3075159799338536,-1.4122613065326632
4.6859999999999999,11.034470351873328,1,-3.3103411055619967,-1.4128643216080401
4.6879999999999997,11.043891457400969,1,-3.3131674372202893,-1.413467336683417
4.6900000000000004,11.053316583029121,1,-3.3159949749087345,-1.414070351758794
4.6920000000000002,11.062745728757768,1,-3.3188237186273288,-1.4146733668341709
4.694,11.072178894586921,1,-3.3216536683760749,-1.4152763819095477
4.6959999999999997,11.081616080516575,1,-3.3244848241549709,-1.4158793969849244
4.6980000000000004,11.091057286546736,1,-3.3273171859640192,-1.4164824120603017
4.7000000000000002,11.100502512677393,1,-3.3301507538032165,-1.4170854271356783
4.702,11.109951758908558,1,-3.332985527672566,-1.4176884422110552
4.7039999999999997,11.119405025240219,1,-3.3358215075720641,-1.418291457286432
4.7060000000000004,11.128862311672391,1,-3.3386586935017157,-1.4188944723618091
4.7080000000000002,11.138323618205058,1,-3.3414970854615165,-1.419497487437186
4.71,11.147788944838233,1,-3.3443366834514676,-1.4201005025125628
4.7119999999999997,11.157258291571909,1,-3.3471774874715705,-1.4207035175879397
4.7140000000000004,11.166731658406086,1,-3.3500194975218247,-1.4213065326633167
4.7160000000000002,11.176209045340764,1,-3.3528627136022271,-1.4219095477386934
4.718,11.185690452375948,1,-3.3557071357127826,-1.4225125628140702
4.7199999999999998,11.195175879511634,1,-3.3585527638534884,-1.4231155778894473
4.7220000000000004,11.204665326747822,1,-3.3613995980243456,-1.4237185929648242
4.7240000000000002,11.21415879408451,1,-3.364247638225351,-1.424321608040201
4.726,11.223656281521704,1,-3.3670968844565095,-1.4249246231155779
4.7279999999999998,11.233157789059399,1,-3.3699473367178183,-1.4255276381909547
4.7300000000000004,11.242663316697596,1,-3.3727989950092776,-1.4261306532663318
4.7320000000000002,11.252172864436298,1,-3.3756518593308877,-1.4267336683417087
4.734,11.261686432275498,1,-3.3785059296826483,-1.4273366834170853
4.7359999999999998,11.271204020215205,1,-3.3813612060645593,-1.4279396984924624
4.7380000000000004,11.280725628255412,1,-3.3842176884766224,-1.4285427135678392
4.7400000000000002,11.290251256396125,1,-3.387075376918836,-1.4291457286432161
4.742,11.299780904637334,1,-3.3899342713911991,-1.429748743718593
4.7439999999999998,11.309314572979048,1,-3.392794371893713,-1.4303517587939698
4.7460000000000004,11.318852261421268,1,-3.3956556784263792,-1.4309547738693469
4.7480000000000002,11.32839396996399,1,-3.3985181909891957,-1.4315577889447237
4.75,11.337939698607212,1,-3.4013819095821614,-1.4321608040201004
4.7519999999999998,11.347489447350934,1,-3.4042468342052792,-1.4327638190954775
4.7540000000000004,11.357043216195166,1,-3.4071129648585483,-1.4333668341708543
4.7560000000000002,11.366601005139897,1,-3.409980301541967,-1.4339698492462312
4.758,11.376162814185127,1,-3.412848844255536,-1.434572864321608
4.7599999999999998,11.385728643330861,1,-3.4157185929992573,-1.4351758793969849
4.7620000000000005,11.395298492577101,1,-3.4185895477731294,-1.435778894472362
4.7640000000000002,11.404872361923843,1,-3.421461708577151,-1.4363819095477388
4.766,11.414450251371083,1,-3.4243350754113235,-1.4369849246231154
4.7679999999999998,11.424032160918827,1,-3.4272096482756473,-1.4375879396984925
4.7700000000000005,11.433618090567078,1,-3.4300854271701215,-1.4381909547738694
4.7720000000000002,11.443208040315829,1,-3.4329624120947471,-1.4387939698492462
4.774,11.45280201016508,1,-3.4358406030495225,-1.4393969849246231
4.7759999999999998,11.462400000114833,1,-3.4387200000344484,-1.4399999999999999
4.7780000000000005,11.472002010165093,1,-3.441600603049527,-1.440603015075377
4.7800000000000002,11.481608040315855,1,-3.4444824120947555,-1.4412060301507539
4.782,11.491218090567116,1,-3.4473654271701326,-1.4418090452261305
4.7839999999999998,11.500832160918879,1,-3.4502496482756628,-1.4424120603015076
4.7860000000000005,11.51045025137115,1,-3.4531350754113439,-1.4430150753768844
4.7880000000000003,11.520072361923923,1,-3.4560217085771754,-1.4436180904522613
4.79,11.529698492577193,1,-3.458909547773156,-1.4442211055276382
4.7919999999999998,11.539328643330967,1,-3.4617985929992892,-1.444824120603015
4.7940000000000005,11.548962814185249,1,-3.4646888442555732,-1.4454271356783921
4.7960000000000003,11.55860100514003,1,-3.4675803015420068,-1.446030150753769
4.798,11.568243216195309,1,-3.4704729648585912,-1.4466331658291456
4.7999999999999998,11.577889447351094,1,-3.4733668342053274,-1.4472361809045227
4.8020000000000005,11.587539698607385,1,-3.4762619095822136,-1.4478391959798995
4.8040000000000003,11.597193969964177,1,-3.4791581909892511,-1.4484422110552764
4.806,11.606852261421468,1,-3.4820556784264385,-1.4490452261306532
4.8079999999999998,11.616514572979261,1,-3.4849543718937777,-1.4496482412060301
4.8100000000000005,11.626180904637563,1,-3.4878542713912668,-1.4502512562814072
4.8120000000000003,11.635851256396364,1,-3.4907553769189077,-1.450854271356784
4.8140000000000001,11.645525628255665,1,-3.4936576884766977,-1.4514572864321607
4.8159999999999998,11.655204020215468,1,-3.4965612060646389,-1.4520603015075377
4.8180000000000005,11.664886432275779,1,-3.4994659296827324,-1.4526633165829146
4.8200000000000003,11.674572864436591,1,-3.5023718593309758,-1.4532663316582917
4.8220000000000001,11.684263316697901,1,-3.5052789950093683,-1.4538693467336683
4.8239999999999998,11.693957789059715,1,-3.5081873367179135,-1.4544723618090452
4.8260000000000005,11.703656281522036,1,-3.5110968844566095,-1.4550753768844222
4.8280000000000003,11.71335879408486,1,-3.5140076382254564,-1.4556783919597991
4.8300000000000001,11.723065326748179,1,-3.5169195980244519,-1.4562814070351759
4.8319999999999999,11.732775879512003,1,-3.5198327638536,-1.4568844221105528
4.8340000000000005,11.742490452376334,1,-3.5227471357128994,-1.4574874371859297
4.8360000000000003,11.752209045341166,1,-3.525662713602348,-1.4580904522613067
4.8380000000000001,11.761931658406498,1,-3.5285794975219473,-1.4586934673366834
4.8399999999999999,11.771658291572331,1,-3.5314974874716984,-1.4592964824120602
4.8420000000000005,11.781388944838673,1,-3.5344166834516,-1.4598994974874373
4.8440000000000003,11.791123618205514,1,-3.5373370854616524,-1.4605025125628142
4.8460000000000001,11.800862311672855,1,-3.5402586935018547,-1.461105527638191
4.8479999999999999,11.810605025240699,1,-3.5431815075722088,-1.4617085427135679
4.8500000000000005,11.82035175890905,1,-3.5461055276727134,-1.4623115577889447
4.8520000000000003,11.830102512677902,1,-3.5490307538033692,-1.4629145728643218
4.8540000000000001,11.839857286547254,1,-3.5519571859641745,-1.4635175879396984
4.8559999999999999,11.849616080517107,1,-3.5548848241551307,-1.4641206030150753
4.8580000000000005,11.859378894587469,1,-3.5578136683762391,-1.4647236180904524
4.8600000000000003,11.86914572875833,1,-3.5607437186274975,-1.4653266331658292
4.8620000000000001,11.878916583029692,1,-3.5636749749089054,-1.4659296482412061
4.8639999999999999,11.888691457401555,1,-3.5666074372204655,-1.4665326633165829
4.8659999999999997,11.898470351873922,1,-3.5695411055621755,-1.4671356783919596
4.8680000000000003,11.908253266446799,1,-3.5724759799340373,-1.4677386934673369
4.8700000000000001,11.918040201120171,1,-3.5754120603360491,-1.4683417085427135
4.8719999999999999,11.927831155894044,1,-3.5783493467682121,-1.4689447236180904
4.8739999999999997,11.93762613076842,1,-3.5812878392305252,-1.4695477386934672
4.8760000000000003,11.947425125743308,1,-3.5842275377229904,-1.4701507537688443
4.8780000000000001,11.957228140818689,1,-3.5871684422456047,-1.4707537688442212
4.8799999999999999,11.967035175994573,1,-3.5901105527983708,-1.471356783919598
4.8819999999999997,11.976846231270958,1,-3.5930538693812859,-1.4719597989949746
