"Time","bodyFront.frame_a.phi","bodyFront.r[1]","bodyFront.r[2]","bodyFront.w","idealWheelFront.phi_roll","idealWheelFront.v_long","idealWheelRear.phi_roll","idealWheelRear.v_long","revolute.phi","revolute.w"
5.2439999999999998,-0.89392589465607997,4.4610370974904132,6.6553686001506858,-0.043810128898457555,25.443828856276081,2.8918042613808517,25.078397800978845,2.8911553176089804,-0.019724786065977384,0.017606553490879844
5.2451999999999996,-0.89397845366957052,4.4637425874272196,6.6575423391648361,-0.043788884487984847,25.455397403878514,2.8924699078269396,25.08996375608951,2.8918221726957691,-0.019703673922522789,0.017577750205062859
5.2463999999999995,-0.89403098721146268,4.4664488142942567,6.6597164362907249,-0.043767660703647827,25.466968614088888,2.8931355567783652,25.101532378616511,2.8924890273022665,-0.019682596348473375,0.017549000266147086
5.2475999999999994,-0.89408349530677267,4.4691557780834907,6.6618908915279764,-0.043746457512146342,25.478542486917728,2.8938012082278521,25.113103668557862,2.8931558814295433,-0.019661553280929563,0.017520303590996211
5.2487999999999992,-0.8941359779804815,4.4718634787868963,6.6640657048762018,-0.0437252748802558,25.490119022375548,2.8944668621681373,25.124677625911577,2.8938227350786607,-0.019640544657109956,0.017491660096583022
5.2499999999999991,-0.894188435257535,4.4745719163964637,6.6662408763349923,-0.043704112774823452,25.501698220472854,2.8951325185919785,25.136254250675687,2.8944895882506749,-0.019619570414351382,0.017463069699990025
5.2511999999999999,-0.89424086716284357,4.4772810909041993,6.6684164059039279,-0.043682971162769202,25.513280081220124,2.8957981774921473,25.147833542848208,2.8951564409466304,-0.019598630490108935,0.017434532318410065
5.2523999999999997,-0.89429327372128276,4.4799910023021114,6.6705922935825663,-0.043661850011086765,25.524864604627798,2.8964638388614294,25.159415502427173,2.8958232931675671,-0.01957772482195607,0.017406047869147009
5.2535999999999996,-0.89434565495769369,4.4827016505822286,6.672768539370459,-0.043640749286846914,25.536451790706323,2.8971295026926365,25.171000129410604,2.8964901449145111,-0.019556853347584557,0.01737761626961622
5.2547999999999995,-0.8943980108968822,4.4854130357365953,6.6749451432671325,-0.043619668957187364,25.548041639466113,2.8977951689785857,25.182587423796548,2.897156996188484,-0.019536016004804611,0.017349237437345275
5.2559999999999993,-0.8944503415636198,4.4881251577572607,6.6771221052721046,-0.043598608989319589,25.559634150917574,2.8984608377121197,25.194177385583039,2.8978238469905038,-0.019515212731544888,0.017320911289974542
5.2571999999999992,-0.89450264698264348,4.4908380166362916,6.6792994253848752,-0.043577569350531205,25.571229325071076,2.8991265088860909,25.205770014768117,2.8984906973215701,-0.019494443465852534,0.01729263774525782
5.2584,-0.89455492717865603,4.4935516123657706,6.681477103604931,-0.043556550008182877,25.582827161937004,2.8997921824933757,25.217365311349845,2.8991575471826816,-0.019473708145893241,0.017264416721062884
5.2595999999999998,-0.89460718217632573,4.4962659449377798,6.6836551399317372,-0.043535550929703494,25.594427661525664,2.9004578585268561,25.228963275326247,2.8998243965748234,-0.019453006709951332,0.017236248135372244
5.2607999999999997,-0.89465941200028698,4.4989810143444267,6.685833534364753,-0.043514572082597847,25.606030823847405,2.9011235369794406,25.240563906695392,2.9004912454989777,-0.019432339096429718,0.017208131906283571
5.2619999999999996,-0.89471161667514032,4.5016968205778252,6.6880122869034171,-0.043493613434440172,25.617636648912534,2.9017892178440472,25.252167205455326,2.9011580939561163,-0.019411705243850014,0.017180067952010446
5.2631999999999994,-0.89476379622545232,4.5044133636301051,6.690191397547153,-0.043472674952882533,25.629245136731335,2.9024549011136145,25.263773171604115,2.9018249419471984,-0.019391105090852543,0.017152056190882916
5.2643999999999993,-0.89481595067575592,4.5071306434934044,6.6923708662953736,-0.043451756605643627,25.640856287314072,2.9031205867810921,25.275381805139823,2.9024917894731792,-0.019370538576196406,0.017124096541348117
5.2655999999999992,-0.89486808005054996,4.509848660159876,6.6945506931474741,-0.043430858360514545,25.652470100671014,2.903786274839447,25.286993106060503,2.9031586365350068,-0.019350005638759528,0.017096188921970911
5.2667999999999999,-0.89492018437430088,4.5125674136216869,6.6967308781028372,-0.04340998018536369,25.664086576812384,2.9044519652816665,25.298607074364259,2.9038254831336143,-0.01932950621753866,0.017068333251434455
5.2679999999999998,-0.894972263671441,4.5152869038710088,6.6989114211608261,-0.043389122048125957,25.675705715748407,2.9051176581007483,25.310223710049126,2.9044923292699329,-0.019309040251649531,0.017040529448540884
5.2691999999999997,-0.89502431796636972,4.5180071309000338,6.7010923223207959,-0.043368283916808768,25.687327517489276,2.9057833532897042,25.321843013113188,2.9051591749448797,-0.019288607680326739,0.017012777432211832
5.2703999999999995,-0.89507634728345331,4.5207280947009618,6.7032735815820823,-0.043347465759494004,25.698951982045184,2.9064490508415668,25.333464983554535,2.9058260201593678,-0.019268208442923918,0.016985077121489132
5.2715999999999994,-0.8951283516470252,4.5234497952660053,6.7054551989440121,-0.043326667544333397,25.710579109426288,2.9071147507493822,25.345089621371248,2.9064928649142989,-0.019247842478913733,0.016957428435535368
5.2727999999999993,-0.89518033108138606,4.5261722325873901,6.707637174405896,-0.043305889239547778,25.722208899642748,2.9077804530062079,25.356716926561401,2.9071597092105663,-0.019227509727887941,0.016929831293634519
5.2739999999999991,-0.89523228561080359,4.5288954066573535,6.7098195079670271,-0.043285130813435865,25.733841352704701,2.9084461576051241,25.36834689912309,2.9078265530490555,-0.019207210129557412,0.01690228561519256
5.2751999999999999,-0.89528421525951307,4.5316193174681443,6.7120021996266894,-0.043264392234359718,25.745476468622254,2.9091118645392173,25.379979539054414,2.9084933964306408,-0.019186943623752194,0.01687479131973809
5.2763999999999998,-0.89533612005171748,4.5343439650120194,6.7141852493841494,-0.043243673470759927,25.757114247405511,2.909777573801597,25.391614846353452,2.9091602393561904,-0.019166710150421592,0.016847348326922962
5.2775999999999996,-0.89538800001158769,4.5370693492812553,6.7163686572386636,-0.043222974491141666,25.768754689064551,2.9104432853853797,25.403252821018306,2.9098270818265619,-0.01914650964963412,0.016819956556522835
5.2787999999999995,-0.89543985516326186,4.5397954702681327,6.7185524231894718,-0.043202295264085082,25.780397793609456,2.9111089992837056,25.414893463047083,2.9104939238426066,-0.01912634206157764,0.01679261592843783
5.2799999999999994,-0.89549168506509047,4.5425223281295999,6.7207365468521409,-0.043181635446997546,25.792043560252761,2.9117747158185359,25.426536772594218,2.9111607658256164,-0.019106205806856374,0.016765322225000524
5.2811999999999992,-0.89554349009410361,4.5452499227331895,6.722921028516625,-0.043160995241922663,25.803691989608872,2.9124404347338593,25.438182749539333,2.9118276074576395,-0.019086101977546777,0.016738078501956816
5.2823999999999991,-0.89559527036505737,4.5479782540391502,6.7251058682568532,-0.04314037467788949,25.815343081843132,2.9131061559588098,25.449831393850104,2.912494448657585,-0.019066030810180393,0.016710885485463092
5.2835999999999999,-0.89564702590153566,4.5507073220399707,6.7272910660716594,-0.043119773723310093,25.826996836964828,2.9137718794868839,25.461482705524787,2.9131612894266414,-0.019045992244029669,0.016683743092130505
5.2847999999999997,-0.89569875672708665,4.5534371267281406,6.7294766219598632,-0.04309919234665989,25.838653254983189,2.9144376053115915,25.473136684561631,2.913828129765994,-0.019025986218472003,0.016656651238657928
5.2859999999999996,-0.89575046286522253,4.556167668096168,6.7316625359202655,-0.043078630516480865,25.850312335907464,2.9151033334264662,25.484793330958905,2.9144949696768188,-0.019006012672989597,0.016629609841832267
5.2871999999999995,-0.89580214433941974,4.5588989461365754,6.7338488079516523,-0.043058088201371532,25.861974079746862,2.9157690638250542,25.496452644714875,2.9151618091602933,-0.018986071547169508,0.016602618818528921
5.2883999999999993,-0.89585380117311897,4.5616309608418977,6.7360354380527951,-0.043037565369997914,25.873638486510554,2.9164347965009187,25.508114625827815,2.9158286482175835,-0.018966162780703642,0.016575678085712271
5.2895999999999992,-0.89590543338972506,4.5643637122046803,6.7382224262224435,-0.043017061991087853,25.885305556207712,2.9171005314476428,25.519779274296006,2.9164954868498509,-0.018946286313388683,0.016548787560436054
5.2907999999999999,-0.89595704101260798,4.5670972002174857,6.7404097724593361,-0.042996578033430231,25.896975288847489,2.9177662686588253,25.531446590117731,2.9171623250582557,-0.018926442085126081,0.016521947159843772
5.2919999999999998,-0.89600862406510173,4.5698314248728833,6.7425974767621897,-0.042976113465876764,25.908647684438975,2.9184320081280801,25.543116573291265,2.9178291628439483,-0.018906630035922099,0.01649515680116926
5.2931999999999997,-0.89606018257050546,4.5725663861634622,6.7447855391297074,-0.042955668257343538,25.920322742991285,2.9190977498490431,25.554789223814897,2.918496000208076,-0.018886850105887674,0.016468416401736911
5.2943999999999996,-0.89611171655208266,4.5753020840818159,6.7469739595605782,-0.042935242376808215,25.932000464513482,2.919763493815362,25.566464541686926,2.9191628371517782,-0.018867102235238468,0.016441725878962258
5.2955999999999994,-0.89616322603306253,4.5780385186205637,6.7491627380534709,-0.042914835793303262,25.943680849014626,2.9204292400207037,25.578142526905651,2.9198296736761948,-0.018847386364294845,0.016415085150352369
5.2967999999999993,-0.89621471103663852,4.5807756897723229,6.7513518746070416,-0.042894448475931497,25.955363896503751,2.92109498845875,25.589823179469374,2.9204965097824545,-0.018827702433481829,0.016388494133506223
5.2979999999999992,-0.89626617158597,4.5835135975297341,6.7535413692199304,-0.042874080393855846,25.96704960698986,2.9217607391232048,25.601506499376391,2.9211633454716819,-0.018808050383329077,0.016361952746115235
