"Time","prismatic.s","prismatic.v"
1.4370000000000001,-0.70890723698456426,0.025252632184759722
1.4379999999999999,-0.70888482516492946,0.019575726550876273
1.4390000000000001,-0.70886808479319863,0.013909772423660189
1.4399999999999999,-0.70885700486915237,0.0082548611043355858
1.4410000000000001,-0.70885157430081103,0.0026110834860964779
1.4419999999999999,-0.70885178190479547,-0.0030214699472555949
1.4430000000000001,-0.70885761640668632,-0.0086427091226938067
1.444,-0.70886906644138381,-0.014252544379328432
1.4450000000000001,-0.70888612055346711,-0.019850886469789081
1.446,-0.70890876719755469,-0.025437646561587052
1.4470000000000001,-0.70893699473866334,-0.031012736238497565
1.448,-0.70897079145256847,-0.03657606750192216
1.4490000000000001,-0.70901014552616315,-0.042127552772270864
1.45,-0.70905504505781825,-0.047667104890324719
1.4510000000000001,-0.70910547805774204,-0.053194637118617737
1.452,-0.70916143244833962,-0.058710063142799626
1.4530000000000001,-0.70922289606457334,-0.064213297073017678
1.454,-0.70928985665432176,-0.069704253445279432
1.4550000000000001,-0.70936230187873939,-0.075182847222834664
1.456,-0.70944021931261669,-0.080648993797537982
1.4570000000000001,-0.70952359644473995,-0.086102608991230858
1.458,-0.70961242091673127,-0.091543607169394012
1.4590000000000001,-0.70970668096159928,-0.096971897774014326
1.46,-0.70980636292125421,-0.10238740497802672
1.4610000000000001,-0.70991145396880173,-0.10779004614108806
1.462,-0.71002194119439499,-0.11317973904977399
1.4630000000000001,-0.71013781160562084,-0.11855640191874331
1.464,-0.71025905212788831,-0.1239199533918835
1.4650000000000001,-0.71038564960481454,-0.12927031254347515
1.466,-0.7105175907986131,-0.1346073988793374
1.4670000000000001,-0.71065486239048026,-0.13993113233799237
1.468,-0.71079745098098202,-0.14524143329181086
1.4690000000000001,-0.71094534309044211,-0.15053822254817639
1.47,-0.71109852515932859,-0.1558214213506311
1.4710000000000001,-0.71125698354864098,-0.16109095138003976
1.472,-0.71142070454029749,-0.16634673475573583
1.4730000000000001,-0.71158967433752274,-0.17158869403668517
1.474,-0.71176387906523331,-0.17681675222263224
1.4750000000000001,-0.71194330477042678,-0.18203083275526391
1.476,-0.71212793742256775,-0.18723085951935556
1.4770000000000001,-0.71231776291397564,-0.19241675684393497
1.478,-0.71251276706021049,-0.19758844950342816
1.4790000000000001,-0.71271293560046245,-0.20274586271882353
1.48,-0.71291825469081216,-0.20788891741238388
1.4810000000000001,-0.71312871014249901,-0.21301753754809433
1.482,-0.71334428697419783,-0.21813165444814414
1.4830000000000001,-0.71356497064423541,-0.22323119493146973
1.484,-0.71379074653754648,-0.22831608625929087
1.4850000000000001,-0.71402159996608294,-0.23338625613605574
1.486,-0.71425751616922384,-0.23844163271036814
1.4870000000000001,-0.71449848031418572,-0.24348214457593295
1.488,-0.71474447749643222,-0.24850772077248293
1.4890000000000001,-0.71499549274008334,-0.25351829078672422
1.49,-0.71525151099832629,-0.25851378455326329
1.4910000000000001,-0.71551251715382536,-0.26349413245555248
1.492,-0.71577849601913013,-0.26845926532681691
1.4930000000000001,-0.71604943233708784,-0.27340911445099964
1.494,-0.71632531078125095,-0.2783436115636892
