"Time","revolute.phi","revolute.w","revolute1.phi","revolute1.w"
5.8870000000000005,-1.9624370430963847,-3.4204816763350814,-0.70179094095815719,-5.6724655983754602
5.8875000000000002,-1.9641474562330008,-3.4211670023948999,-0.704622873492883,-5.6552695091172263
5.8879999999999999,-1.9658582100146824,-3.4218443022633238,-0.70744620198420538,-5.6380492708162926
5.8885000000000005,-1.967569300399391,-3.4225134821177603,-0.71026091450761186,-5.620805408490626
5.8890000000000002,-1.9692807232973442,-3.4231744491730982,-0.71306699940395912,-5.6035384436004483
5.8895,-1.970992474571456,-3.4238271116883694,-0.71586444527804527,-5.5862488940248678
5.8899999999999997,-1.9727045500377565,-3.424471378973394,-0.71865324099713601,-5.5689372740388325
5.8905000000000003,-1.9744169454658178,-3.4251071613954358,-0.72143337568951882,-5.5516040942898783
5.891,-1.9761296565791708,-3.425734370385852,-0.72420483874302799,-5.5342498617750699
5.8914999999999997,-1.9778426790557493,-3.4263529184467485,-0.72696761980361879,-5.5168750798176465
5.8920000000000003,-1.9795560085283044,-3.4269627191576308,-0.72972170877389764,-5.4994802480439136
5.8925000000000001,-1.981269640584824,-3.4275636871820541,-0.73246709581165148,-5.4820658623601757
5.8929999999999998,-1.9829835711178461,-3.4281557085653125,-0.73520377015428862,-5.4646325302417704
5.8935000000000004,-1.9846977954834963,-3.4287387123905404,-0.73793172294903675,-5.4471806926097575
5.8940000000000001,-1.9864123090722963,-3.4293126222128194,-0.74065094533183795,-5.429710812337281
5.8944999999999999,-1.9881271073155651,-3.4298773555581015,-0.7433614284058474,-5.4122233761969971
5.8950000000000005,-1.9898421856032626,-3.4304328309616334,-0.74606316351786994,-5.3947188675448023
5.8955000000000002,-1.9915575392844462,-3.430978967971329,-0.74875614225676157,-5.3771977663094779
5.8959999999999999,-1.9932731636677523,-3.4315156871511543,-0.75144035645187324,-5.3596605489820393
5.8965000000000005,-1.9949890540218502,-3.4320429100844931,-0.75411579817145069,-5.342107688605366
5.8970000000000002,-1.9967052055758991,-3.4325605593775257,-0.75678245972103719,-5.3245396547638428
5.8975,-1.9984216135200297,-3.4330685586626029,-0.75944033364191477,-5.3069569135727068
5.8979999999999997,-2.0001382730057959,-3.4335668326016235,-0.76208941270950337,-5.2893599276677135
5.8985000000000003,-2.0018551791466468,-3.4340553068894017,-0.76472968993178214,-5.2717491561946135
5.899,-2.0035723270183761,-3.4345339082570527,-0.76736115854768883,-5.2541250547988199
5.8994999999999997,-2.0052897116596058,-3.435002564475357,-0.7699838120255611,-5.2364880756147576
5.9000000000000004,-2.0070073280722434,-3.4354612043581438,-0.77259764406153797,-5.2188386672555005
5.9005000000000001,-2.0087251713405632,-3.4359097365484108,-0.77520264826016005,-5.2011773520882949
5.9009999999999998,-2.0104432363667186,-3.4363480969120141,-0.77779881884264213,-5.1835045536001179
5.9015000000000004,-2.01216151800759,-3.4367762241486708,-0.78038615027992475,-5.165820685238832
5.9020000000000001,-2.0138800111297881,-3.437194050036974,-0.78296463714490072,-5.148126185948648
5.9024999999999999,-2.015598710566028,-3.4376015073281119,-0.78553427422904631,-5.1304214914181205
5.9030000000000005,-2.0173176111155966,-3.4379985297465838,-0.78809505654078238,-5.1127070340794667
5.9035000000000002,-2.0190367075448217,-3.4383850519909158,-0.79064697930383621,-5.0949832431078663
5.9039999999999999,-2.0207559945875704,-3.4387610097343839,-0.79319003795564369,-5.0772505444205036
5.9045000000000005,-2.0224754669457194,-3.4391263396257314,-0.79572422814571298,-5.0595093606758699
5.9050000000000002,-2.0241951192896237,-3.4394809792898839,-0.79824954573398343,-5.0417601112730734
5.9055,-2.0259149462586152,-3.4398248673286691,-0.80076598678923072,-5.0240032123508724
5.9059999999999997,-2.0276349424614679,-3.4401579433215388,-0.80327354758742198,-5.006239076787014
5.9065000000000003,-2.0293551024768863,-3.4404801478262805,-0.80577222461010178,-4.9884681141973903
5.907,-2.0310754208539676,-3.4407914223797418,-0.80826201454274871,-4.9706907309353783
5.9074999999999998,-2.0327958921127034,-3.4410917094985463,-0.81074291427317802,-4.9529073300908708
5.9080000000000004,-2.0345165107216592,-3.4413809385589915,-0.81321492105776139,-4.9351183587343401
5.9085000000000001,-2.0362372711441554,-3.4416590541247247,-0.81567803218305457,-4.9173242131412147
5.9089999999999998,-2.0379581678266994,-3.441926008466051,-0.8181322450531443,-4.8995252638217739
5.9095000000000004,-2.0396791951760789,-3.4421817470797751,-0.82057755736013782,-4.8817219039699458
5.9100000000000001,-2.0414003475722451,-3.44242621637928,-0.82301396699112339,-4.8639145237358994
5.9104999999999999,-2.0431216193688027,-3.4426593636932088,-0.82544147202659557,-4.846103510231897
