"Time","damper.phi_rel","damper.w_rel","cutForceAndTorque_inFrameA.force[1]","cutForceAndTorque_inFrameA.force[2]","cutForceAndTorque_inFrameA.torque","cutForceAndTorque_inWorld.force[1]","cutForceAndTorque_inWorld.force[2]","cutForceAndTorque_inWorld.torque","cutForceAndTorque_inFrameResolve.force[1]","cutForceAndTorque_inFrameResolve.force[2]","cutForceAndTorque_inFrameResolve.torque"
0.034799999999999998,-0.005394440398197497,-0.30986132617748274,-0.14396835504228178,0.92076443939956398,0.49136835231753029,-0.14396835504228178,0.92076443939956398,0.030986132617748276,-0.14893324510788955,0.91997441737148711,0.030986132617748276
0.035399999999999994,-0.0055819572606587908,-0.31519510056171951,-0.14896633423797967,0.92130426062818138,0.49217164037026262,-0.14896633423797967,0.92130426062818138,0.03151951005617195,-0.15410666777987447,0.92045838815979331,0.03151951005617195
0.035999999999999997,-0.0057726743012693899,-0.32052857859144279,-0.1540492643720312,0.92184691513277528,0.49297631542553194,-0.1540492643720312,0.92184691513277528,0.032052857859144281,-0.15936819006935316,0.92094228417821955,0.032052857859144281
0.036599999999999994,-0.0059665913434813938,-0.32586176010829848,-0.15921712810771257,0.92239250031787279,0.49378242616976625,-0.15921712810771257,0.92239250031787279,0.032586176010829852,-0.16471780048756252,0.92142610378047363,0.032586176010829852
0.037199999999999997,-0.006163708210746909,-0.33119464495393275,-0.16446990802416867,0.92294111520697442,0.49459002209888048,-0.16446990802416867,0.92294111520697442,0.033119464495393276,-0.17015548753081153,0.9219098452929787,0.033119464495393276
0.037799999999999993,-0.0063640247265180395,-0.33652723296999132,-0.16980758661378295,0.9234928604419288,0.49539915351796354,-0.16980758661378295,0.9234928604419288,0.033652723296999136,-0.17568123968019117,0.92239350701489897,0.033652723296999136
0.038399999999999997,-0.0065675407142468901,-0.34185952399812031,-0.17523014627950506,0.92404783828227899,0.49620987154095153,-0.17523014627950506,0.92404783828227899,0.034185952399812029,-0.18129504540127922,0.92287708721813966,0.034185952399812029
0.039,-0.0067742559973855664,-0.34719151787996555,-0.18073756933213544,0.92460615260461054,0.49702222809030183,-0.18073756933213544,0.92460615260461054,0.034719151787996554,-0.18699689314384069,0.92336058414735245,0.034719151787996554
0.039599999999999996,-0.0069841703993861687,-0.352523214457173,-0.18632983798756769,0.92516790890189604,0.49783627589666535,-0.18632983798756769,0.92516790890189604,0.0352523214457173,-0.19278677134152311,0.92384399601994027,0.0352523214457173
0.0402,-0.0071972837437008046,-0.35785461357138876,-0.19200693436398819,0.92573321428283073,0.49865206849855426,-0.19200693436398819,0.92573321428283073,0.035785461357138879,-0.19866466841154778,0.92432732102605741,0.035785461357138879
0.040799999999999996,-0.0074135956943201242,-0.36318570463540262,-0.19776883149451741,0.92630217642489399,0.49946965867598725,-0.19776883149451741,0.92630217642489399,0.036318570463540263,-0.20463056361489818,0.9248105563816037,0.036318570463540263
0.041399999999999999,-0.0076331062027151621,-0.36851649586336033,-0.20361551826271126,0.92687490649798754,0.50028910283532979,-0.20361551826271126,0.92687490649798754,0.036851649586336035,-0.21068445242807637,0.92529370098262709,0.036851649586336035
