"Time","body.phi","damper1D.s_rel","damper1D.v_rel","revolute.w"
9.0419999999999998,-0.6448348190803892,-0.008510781495841533,-0.21427616061807636,1.0173200614382611
9.0440000000000005,-0.64279021772387612,-0.0089395479261428143,-0.21449049441881021,1.0272770099809847
9.0459999999999994,-0.64072572822491913,-0.0093687444006138113,-0.21470617723367305,1.0372081916712819
9.048,-0.63864140244137191,-0.0097983734979144779,-0.21492309679882246,1.047113233364267
9.0500000000000007,-0.63653729302648021,-0.010228437577168698,-0.21514113982084657,1.056991760980285
9.0519999999999996,-0.63441345338304944,-0.010658938768089113,-0.21536019051738359,1.0668433980029017
9.0540000000000003,-0.63226993766808559,-0.011089878965955159,-0.21558013061869591,1.076667765470255
9.0560000000000009,-0.63010680079745673,-0.011521259826587676,-0.21580083936924221,1.0864644819663249
9.0579999999999998,-0.62792409845053598,-0.011953082761326936,-0.21602219352925123,1.0962331636122793
9.0600000000000005,-0.62572188712409138,-0.012385349016101726,-0.21624407194945838,1.10597342918872
9.0619999999999994,-0.62350022402251859,-0.012818059471013143,-0.21646634494665251,1.1156848882050014
9.0640000000000001,-0.62125916714941032,-0.013251214783753696,-0.21668888237792683,1.1253671499478048
9.0660000000000007,-0.61899877529440239,-0.013684815354166617,-0.21691155198814918,1.1350198216165819
9.0679999999999996,-0.61671910803518748,-0.014118861314731465,-0.21713421916723091,1.1446425080408007
9.0700000000000003,-0.61442022574223265,-0.01455335252567019,-0.21735674695866392,1.1542348116791061
9.072000000000001,-0.61210218958351514,-0.014988288570049807,-0.21757899606805584,1.1637963326184024
9.0739999999999998,-0.60976506152924081,-0.015423668748888401,-0.21780082487166744,1.1733266685730139
9.0760000000000005,-0.60740890435656081,-0.015859492076261302,-0.21802208942494924,1.1828254148838462
9.0779999999999994,-0.60503378165431043,-0.016295757274403234,-0.21824264347107702,1.1922921645174609
9.0800000000000001,-0.60263975782771639,-0.016732462768816403,-0.21846233844948976,1.2017265080652786
9.0820000000000007,-0.6002268981031349,-0.017169606683372675,-0.21868102350442462,1.211128033742654
9.0839999999999996,-0.59779526853277032,-0.017607186835419703,-0.21889854549345417,1.2204963273880367
9.0860000000000003,-0.59534493599939042,-0.01804520073088698,-0.21911474899602354,1.2298309724621317
9.088000000000001,-0.59287596809356602,-0.01848364577584842,-0.21932948217942957,1.2391315573198682
9.0899999999999999,-0.59038843334807034,-0.01892251888168529,-0.21954258625542103,1.2483976621077715
9.0920000000000005,-0.5878824012251862,-0.019361816489756076,-0.21975389628875444,1.2576288597564496
9.0939999999999994,-0.58535794196046897,-0.019801534839789248,-0.21996324860100391,1.2668247251620131
9.0960000000000001,-0.58281512664198132,-0.020241669838461217,-0.2201704773551767,1.2759848309339663
9.0980000000000008,-0.58025402721496,-0.020682217054623822,-0.22037541456763968,1.2851087473984939
9.0999999999999996,-0.57767471648645863,-0.021123171714535764,-0.22057789012004761,1.2941960426018302
9.1020000000000003,-0.57507726812999105,-0.021564528697094063,-0.22077773177127116,1.3032462823136319
9.104000000000001,-0.57246175669019461,-0.022006282529061897,-0.22097476516932382,1.3122590300302719
9.1059999999999999,-0.56982825758747413,-0.0224484273803001,-0.22116881386328985,1.3212338469782114
9.1080000000000005,-0.56717684712264405,-0.022890957058998535,-0.22135969931525259,1.330170292117369
9.1099999999999994,-0.56450760248159515,-0.023333865006903636,-0.22154724091222119,1.3390679221444093
9.1120000000000001,-0.56182060173992621,-0.023777144294551768,-0.22173125597805923,1.347926291496153
9.1140000000000008,-0.55911592313435365,-0.024220789403577542,-0.22191161624295178,1.3567450211799927
9.1159999999999997,-0.55639364695529414,-0.024664791620686362,-0.22208810249214128,1.365523621565671
9.1180000000000003,-0.55365385397437727,-0.025109142876648921,-0.22226052601021368,1.3742616404262658
9.120000000000001,-0.55089662582293575,-0.025553834830441605,-0.2224286998098941,1.3829586278521158
9.1219999999999999,-0.5481220450409231,-0.025998858756573432,-0.22259243523505357,1.3916141320983857
9.1240000000000006,-0.54533019508138847,-0.026444205540725386,-0.22275154198552485,1.4002276996041467
9.1259999999999994,-0.54252116031497732,-0.026889865675385847,-0.22290582814191698,1.40879887501138
9.1280000000000001,-0.53969502603439357,-0.027335829255491998,-0.22305510019043154,1.4173272011840947
9.1300000000000008,-0.53685187845889992,-0.02778208597406516,-0.22319916304767723,1.4258122192273304
9.1319999999999997,-0.53399180473879326,-0.028228625117850289,-0.22333782008548558,1.4342534685062382
9.1340000000000003,-0.53111489295987913,-0.028675435562955223,-0.22347087315572695,1.4426504866651602
9.136000000000001,-0.5282212321479699,-0.029122505770486612,-0.22359812261512479,1.4510028096466401
9.1379999999999999,-0.5253109114538872,-0.029569824743145706,-0.22371938482178041,1.4593099950592474
9.1400000000000006,-0.52238401984066607,-0.030017382392918075,-0.22383449892445614,1.4675716312365141
9.1419999999999995,-0.51944065081538915,-0.030465163993184961,-0.22394322609734202,1.475787202562711
9.1440000000000001,-0.51648089702741662,-0.030913156513999871,-0.22404536482947915,1.4839562435286235
9.1460000000000008,-0.51350485207309071,-0.031361346506709825,-0.22414071256799414,1.4920782874583982
9.1479999999999997,-0.51051261049964192,-0.031809720100261056,-0.22422906575503038,1.5001528665448143
